Name,Rating,Total Rating,Price Pounds,Price Pence
"Wired RGB Gaming Mouse, 2500 DPI 7 Buttons, Ergonomic LED Backlit USB Gamer Mice Computer Laptop PC, Compatible with XBOX PC Mac OS Linux - Pink","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">372</span>","<span class=""a-price-whole"">16<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Anti-Theft Laptop Backpack,15.6-17.3 Inch Business Travel Backpack Bag with Lock with USB Charging & Headphone Port, Water Resistant College School Computer Rucksack Work Backpack for Mens Womens","<span class=""a-icon-alt"">4.7 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">10,145</span>","<span class=""a-price-whole"">30<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Blade Hawks RGB Gaming Mouse Mat with Speaker, Large Mouse Pad 3 USB Port, 15 Lighting Mode,Water Resistance and Non-Slip,Keyboard Mouse Mat Suitable for Gaming,Computer and Desk(78x30x0.4cm)","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">2,236</span>","<span class=""a-price-whole"">14<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
Prodrocam Protective Carrying Case Storage Bag with Hard Shell for Logitech MX Keys Advanced Wireless Keyboard Computer Accessories for Travel,"<span class=""a-icon-alt"">4.5 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">42</span>","<span class=""a-price-whole"">20<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">79</span>"
"Laptop Backpack, Extra Large 17 Inch Business Travel Rucksack with USB Charging Port Earphone Hole, Durable Water Resistant Work Computer Backpack College/High School Bags for Men/Women/Boys, Black","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">621</span>","<span class=""a-price-whole"">29<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Ultra-thin Mouse, Ergonomic Design Wireless Mouse Computer Accessories for Laptop Desktop Computer",,,,
JIALONG New Upgraded Version Mouse Mat World Map Desk Pad Gaming Mousepad with Personalized Design Extended Large Size 900x400mm for Work Office Computer PC Laptop Protector,"<span class=""a-icon-alt"">4.7 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">12,654</span>","<span class=""a-price-whole"">14<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"HUANUO Monitor Stand Riser - 3 Height Adjustable Monitor Stand Ergonomic Metal Monitor Riser Stand with Mesh Platform for Laptop, Computer, PC, Printer up to 20KG","<span class=""a-icon-alt"">4.7 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">6,249</span>","<span class=""a-price-whole"">15<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"HUANUO Monitor Stand Riser, Monitor Riser, Laptop Stand, Laptop Shelf w/Vented Metal, for Screen, Laptops, Printer, for Home & Office","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">1,254</span>","<span class=""a-price-whole"">16<span class=""a-price-decimal"">.</span></span>","<span class=""a-price-fraction"">99</span>"
"Razer Huntsman Mini (Purple Switch) - Compact Gaming Keyboard (Compact 60% Keyboard with Clicky Opto-Mechanical Switches, PBT Keycaps, Detachable USB-C Cable) UK Layout | Black","<span class=""a-icon-alt"">4.6 out of 5 stars</span>","<span class=""a-size-base s-underline-text"">2,010</span>",,
